Season,Make,Entries,Wins,Top5,Top10,Avg_Finish,Win_Rate_Per_entry
1961,Chrysler,55,1,11,17,16.327272727272728,1.8181818181818181
1971,GMC,5,0,2,3,10.2,0.0
1954,Dodge,128,1,15,46,18.109375,0.78125
1963,Chevrolet,238,8,25,75,16.08823529411765,3.361344537815126
1967,Chevrolet,319,3,26,73,19.946708463949843,0.9404388714733543
1973,Ford,194,0,7,28,21.963917525773194,0.0
1996,Ford,715,13,76,169,21.02937062937063,1.8181818181818181
2011,Chevrolet,596,18,77,163,19.59228187919463,3.0201342281879198
1949,Kaiser,8,0,1,2,14.625,0.0
1956,-,3,0,1,1,13.333333333333334,0.0
1950,Plymouth,93,4,28,49,12.24731182795699,4.301075268817205
1959,Oldsmobile,30,4,14,19,10.0,13.333333333333334
1960,Buick,7,0,0,1,34.857142857142854,0.0
1972,Chevrolet,204,10,33,48,21.13235294117647,4.901960784313726
1975,Plymouth,22,0,0,1,18.5,0.0
2009,Toyota,445,11,42,75,25.43370786516854,2.4719101123595504
1971,Mercury,232,11,47,94,16.400862068965516,4.741379310344827
1950,Lincoln,61,2,7,19,21.901639344262296,3.278688524590164
1955,Buick,73,2,13,27,16.45205479452055,2.73972602739726
2023,Chevrolet,594,18,77,149,19.664983164983166,3.0303030303030303
1952,Ford,130,0,8,31,17.638461538461538,0.0
1985,Chevrolet,494,14,75,136,19.692307692307693,2.834008097165992
2022,Chevrolet,555,19,83,157,18.545945945945945,3.423423423423423
1952,Buick,8,0,0,4,12.625,0.0
1957,Plymouth,77,0,4,24,17.532467532467532,0.0
1958,Oldsmobile,67,7,29,47,9.880597014925373,10.44776119402985
1968,Dodge,236,5,73,116,14.495762711864407,2.11864406779661
1973,-,7,1,1,2,21.142857142857142,14.285714285714285
1981,Pontiac,255,1,30,58,18.694117647058825,0.39215686274509803
1955,Lincoln,1,0,0,0,19.0,0.0
1974,Ford,133,0,16,30,21.25563909774436,0.0
1975,Mercury,25,3,13,14,14.4,12.0
1993,Pontiac,160,11,28,45,18.50625,6.875000000000001
1967,Mercury,24,0,3,6,21.75,0.0
2003,Pontiac,178,1,6,15,26.640449438202246,0.5617977528089888
2008,Chevrolet,509,11,68,142,20.206286836935167,2.161100196463654
1949,Cadillac,8,0,2,4,16.25,0.0
1953,Oldsmobile,230,9,46,97,15.41304347826087,3.91304347826087
1957,Pontiac,78,2,8,19,18.858974358974358,2.564102564102564
1960,Plymouth,147,8,44,84,12.564625850340136,5.442176870748299
1978,Chevrolet,590,10,71,149,19.0,1.694915254237288
1964,Chrysler,86,0,1,26,18.523255813953487,0.0
1980,Ford,85,3,12,29,16.764705882352942,3.5294117647058822
1999,Ford,674,13,84,141,22.523738872403563,1.9287833827893175
2007,Chevrolet,682,26,121,224,19.153958944281523,3.812316715542522
1982,Oldsmobile,33,0,0,2,25.90909090909091,0.0
1982,Buick,502,25,80,148,18.567729083665338,4.9800796812749
1957,Chevrolet,427,21,98,189,13.552693208430913,4.918032786885246
1979,Pontiac,5,0,0,0,23.4,0.0
2003,Ford,374,7,39,92,21.114973262032084,1.8716577540106951
2005,Ford,318,16,68,121,17.60377358490566,5.031446540880504
1958,-,4,0,0,0,25.0,0.0
1971,Plymouth,258,22,62,96,17.143410852713178,8.527131782945736
1981,Ford,131,7,21,46,18.31297709923664,5.343511450381679
1984,Dodge,7,0,0,0,20.571428571428573,0.0
2010,Ford,433,4,35,82,21.759815242494227,0.9237875288683602
2024,Chevrolet,535,15,71,146,19.018691588785046,2.803738317757009
1951,Oldsmobile,251,20,65,95,17.868525896414344,7.968127490039841
1959,Plymouth,64,7,20,30,12.984375,10.9375
1964,Plymouth,238,12,82,114,12.1890756302521,5.042016806722689
1966,Chevrolet,294,3,16,52,20.19047619047619,1.0204081632653061
1986,Ford,255,5,26,61,19.16470588235294,1.9607843137254901
1976,Pontiac,3,0,0,0,25.333333333333332,0.0
2015,Toyota,315,14,48,85,22.152380952380952,4.444444444444445
1949,Plymouth,6,1,3,5,5.333333333333333,16.666666666666664
1990,Oldsmobile,209,1,20,41,21.84688995215311,0.4784688995215311
2016,Toyota,274,16,54,102,18.638686131386862,5.839416058394161
2017,Chevrolet,634,10,52,114,21.662460567823345,1.5772870662460567
1991,Oldsmobile,195,5,17,34,21.266666666666666,2.564102564102564
1952,Chrysler,34,1,7,13,17.88235294117647,2.941176470588235
2018,Toyota,259,13,64,93,18.575289575289574,5.019305019305019
1971,Pontiac,21,0,2,4,23.19047619047619,0.0
1961,Buick,2,0,0,0,21.5,0.0
