Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
2002,Sonoma Raceway,road course,43,1,103.25581395348837,19.0,110.0,27,1
1994,Charlotte Motor Speedway,intermediate,85,2,312.94117647058823,4.0,400.0,15,2
1958,Champion Speedway,short,77,3,113.94805194805195,0.0,150.0,9,3
2017,Auto Club Speedway,intermediate,39,1,195.05128205128204,99.0,202.0,23,1
1986,Pocono Raceway,intermediate,80,2,143.75,2.0,200.0,16,1
2024,Texas Motor Speedway,intermediate,38,1,257.94736842105266,98.0,276.0,31,1
1952,Martinsville Speedway,short,51,2,143.2941176470588,11.0,200.0,4,2
1961,North Wilkesboro Speedway,intermediate,55,2,242.6727272727273,2.0,400.0,2,1
1954,Palm Beach Speedway,short,26,1,151.26923076923077,7.0,200.0,1,1
1986,Dover International Speedway,intermediate,77,2,346.09090909090907,0.0,500.0,5,2
2001,Michigan International Speedway,intermediate,86,2,171.38372093023256,16.0,200.0,32,2
2018,Chicagoland Speedway,intermediate,39,1,256.46153846153845,185.0,267.0,15,1
1959,Heidelberg Raceway,short,22,1,136.9090909090909,12.0,200.0,2,1
2002,Texas Motor Speedway,intermediate,43,1,317.3488372093023,169.0,334.0,12,1
1983,Pocono Raceway,intermediate,78,2,155.21794871794873,6.0,200.0,13,2
1981,Nashville Speedway,intermediate,57,2,346.10526315789474,1.0,420.0,6,2
1964,Greenville-Pickens Speedway,short,44,2,135.1818181818182,1.0,200.0,5,2
1953,Harnett Speedway,short,32,1,198.5,197.0,200.0,1,1
1964,New Asheville Speedway,short,19,1,195.10526315789474,1.0,300.0,1,1
1952,Occoneechee Speedway,intermediate,48,2,94.60416666666667,12.0,150.0,6,2
1969,Jeffco Speedway,short,27,1,163.96296296296296,42.0,200.0,2,1
1982,Nashville Speedway,intermediate,58,2,342.3448275862069,17.0,420.0,2,1
1956,Occoneechee Speedway,intermediate,54,2,76.66666666666667,6.0,110.0,6,2
1971,Talladega Superspeedway,superspeedway,100,2,120.0,1.0,188.0,5,2
1952,Michigan State Fairgrounds,intermediate,47,1,150.38297872340425,10.0,250.0,2,1
1958,Wall Stadium,short,19,1,229.73684210526315,43.0,300.0,4,1
2019,Charlotte Motor Speedway,intermediate,40,1,346.675,22.0,400.0,17,1
1971,Trenton Speedway,intermediate,40,1,137.475,2.0,200.0,2,1
1997,Atlanta Motor Speedway,intermediate,85,2,294.3176470588235,38.0,328.0,16,2
1991,Sonoma Raceway,road course,43,1,66.23255813953489,2.0,74.0,18,1
2009,Homestead-Miami Speedway,intermediate,43,1,247.2325581395349,35.0,267.0,29,1
2007,Michigan International Speedway,intermediate,86,2,191.91860465116278,67.0,203.0,29,2
1966,Bowman Gray Stadium,short,46,2,145.5,1.0,250.0,4,1
1950,Hamburg Speedway,short,33,1,172.75,92.0,200.0,2,1
1964,Hickory Speedway,short,45,2,166.2888888888889,2.0,250.0,2,2
2013,Homestead-Miami Speedway,intermediate,43,1,251.37209302325581,63.0,267.0,26,1
1969,Augusta International Raceway,short,54,2,147.7962962962963,8.0,200.0,5,2
1990,Charlotte Motor Speedway,intermediate,83,2,299.72289156626505,2.0,400.0,20,2
2012,Talladega Superspeedway,superspeedway,86,2,158.91860465116278,2.0,194.0,40,2
2022,Indianapolis Motor Speedway Road Course,road course,38,1,79.05263157894737,24.0,86.0,28,1
1984,Richmond Raceway,speedway,62,2,366.53225806451616,95.0,400.0,6,2
1991,Atlanta Motor Speedway,intermediate,80,2,288.5625,26.0,328.0,13,2
2025,Chicago Street Course,road course,40,1,60.2,1.0,75.0,23,1
2025,Pocono Raceway,intermediate,37,1,149.64864864864865,41.0,160.0,30,1
2006,Phoenix Raceway,intermediate,86,2,293.51162790697674,98.0,312.0,36,1
1963,Greenville-Pickens Speedway,short,45,2,156.62222222222223,1.0,200.0,5,2
2010,Darlington Raceway,intermediate,43,1,308.5348837209302,19.0,367.0,18,1
1972,Michigan International Speedway,intermediate,80,2,144.1625,1.0,200.0,5,1
2020,Talladega Superspeedway,superspeedway,79,2,175.27848101265823,1.0,200.0,46,2
1968,Augusta International Speedway,short,44,2,149.8181818181818,1.0,250.0,4,2
2020,Dover International Speedway,intermediate,80,2,287.1125,4.0,311.0,33,2
2024,Talladega Superspeedway,superspeedway,78,2,186.15384615384616,120.0,195.0,52,2
1957,Watkins Glen International,road course,20,1,30.95,6.0,44.0,3,1
1992,Sonoma Raceway,road course,43,1,67.55813953488372,2.0,74.0,21,1
1949,North Wilkesboro Speedway,short,22,1,161.3181818181818,38.0,200.0,2,1
2017,Kentucky Speedway,intermediate,40,1,246.05,87.0,274.0,9,1
1952,Columbia Speedway,short,22,1,128.11111111111111,23.0,200.0,2,1
1977,Darlington Raceway,intermediate,76,2,262.0131578947368,8.0,367.0,7,2
1972,Dover International Speedway,intermediate,80,2,299.65,2.0,500.0,2,2
1958,Riverside International Raceway,road course,46,1,123.58695652173913,0.0,190.0,2,1
1952,Morristown Speedway,short,32,1,141.09375,3.0,200.0,2,1
1973,Rockingham Speedway,intermediate,83,2,349.43373493975906,11.0,492.0,3,1
1980,Richmond Raceway,speedway,60,2,310.0833333333333,44.0,400.0,7,2
