Season,Race,Track,Name,Length,Surface,Finish,Start,Car,Driver,Make,Pts,Laps,Led,Status,Team,S1,S2,Rating,Win,Seg Points
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,1,16,3,Mike Skinner,Chevrolet,180,80,30,running,Richard Childress Racing,,,,1.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,2,3,5,Terry Labonte,Chevrolet,170,80,24,running,Hendrick Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,3,2,52,Ken Schrader,Chevrolet,165,80,0,running,Ken Schrader Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,4,5,30,Joe Bessey,Dodge,160,80,0,running,Grandaddy Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,5,9,7,Geoff Bodine,Ford,155,80,0,running,Geoff Bodine Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,6,15,31,Jack Sprague,Chevrolet,150,80,0,running,Griffin Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,7,17,98,Butch Miller,Ford,146,80,0,running,Liberty Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,8,7,84,Joe Ruttman,Ford,142,80,0,running,Irvan-Simo Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,9,1,16,Ron Hornaday Jr.,Chevrolet,138,80,26,running,Dale Earnhardt Inc.,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,10,4,18,Johnny Benson Jr.,Chevrolet,134,80,0,running,Roehrig Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,11,10,24,Scott Lagasse,Chevrolet,130,80,0,running,Hendrick Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,12,13,75,Bill Sedgwick,Chevrolet,127,80,0,running,Spears Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,13,32,89,John Nemechek,Chevrolet,124,80,0,running,Redding Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,14,11,08,Mike Bliss,Ford,121,80,0,running,Ultra Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,15,20,37,Bob Strait,Ford,118,80,0,running,Strait Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,16,14,1,P.J. Jones,Chevrolet,115,80,0,running,Vestar Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,17,12,38,Sammy Swindell,Ford,112,80,0,running,Akins-Sutton Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,18,21,03,Tommy Archer,Ford,109,80,0,running,Tommy Archer (Owner),,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,19,22,51,Kerry Teague,Chevrolet,106,80,0,running,Jim Rosenblum Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,20,18,74,Gary Collins,Chevrolet,103,79,0,running,Marion Collins (Owner),,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,21,6,25,Roger Mears,Chevrolet,100,79,0,running,Hendrick Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,22,23,29,Bob Keselowski,Dodge,97,79,0,running,K Automotive Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,23,27,88,Jerry Churchill,Ford,94,79,0,running,Churchill Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,24,8,6,Rick Carelli,Chevrolet,91,78,0,engine,Chesrown Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,25,19,21,Tobey Butler,Ford,88,78,0,running,Venable Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,26,30,11,Mike Hurlbert,Ford,85,76,0,running,RPM Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,27,25,81,Jerry Glanville,Ford,82,76,0,running,Glanville Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,28,26,54,Steve McEachern,Chevrolet,79,74,0,running,McEachern Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,29,28,20,Walker Evans,Dodge,76,51,0,valve,Walker Evans Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,30,24,10,Troy Beebe,Chevrolet,73,31,0,suspension,Sandy Denton (Owner),,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,31,31,06,Butch Gilliland,Ford,70,30,0,engine,Ultra Motorsports,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,32,29,23,T.J. Clark,Ford,67,22,0,accident,Clark Racing,,,,0.0,
1995,1,Phoenix Raceway,Copper World Classic,1.0,paved,33,33,8,John Borneman,Chevrolet,64,22,0,steering,Borneman Motorsports,,,,0.0,
1995,2,Tucson Raceway Park,Racing Champions 200,0.375,paved,1,6,16,Ron Hornaday Jr.,Chevrolet,180,203,102,running,Dale Earnhardt Inc.,,,,1.0,
1995,2,Tucson Raceway Park,Racing Champions 200,0.375,paved,2,7,1,P.J. Jones,Chevrolet,170,203,0,running,Vestar Motorsports,,,,0.0,
1995,2,Tucson Raceway Park,Racing Champions 200,0.375,paved,3,13,6,Rick Carelli,Chevrolet,165,203,0,running,Chesrown Racing,,,,0.0,
1995,2,Tucson Raceway Park,Racing Champions 200,0.375,paved,4,2,84,Joe Ruttman,Ford,160,203,53,running,Irvan-Simo Racing,,,,0.0,
1995,2,Tucson Raceway Park,Racing Champions 200,0.375,paved,5,3,31,Jack Sprague,Chevrolet,155,203,0,running,Griffin Racing,,,,0.0,
1995,2,Tucson Raceway Park,Racing Champions 200,0.375,paved,6,5,24,Scott Lagasse,Chevrolet,150,203,0,running,Hendrick Motorsports,,,,0.0,
1995,2,Tucson Raceway Park,Racing Champions 200,0.375,paved,7,10,38,Sammy Swindell,Ford,146,203,0,running,Akins-Sutton Motorsports,,,,0.0,
